kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60; 
3422;0000-2400;;RUS;Amderma Aero;R;NEu;;1;;[1218]
3422;0000-2400;;RUS;Arkhangelsk Aero;R;NEu;;1;;[0217]
3422;0000-2400;;RUS;Kotlas Aero;R;NEu;;1;;[1218]
3422;0000-2400;;RUS;Naryan-Mar Aero;R;NEu;;1;;[1218]
3422;0000-2400;;RUS;Pechorá Aero;R;NEu;;1;;[1218]
3422;0000-2400;;RUS;Vorkuta Aero;R;NEu;;1;;[0217]
3445;0000-2400;;USA;New York Radio CAR-A;E;Car;bg;1;;[1217]
3446;0000-2400;;IRL;Shannon Aeradio J;E;NAO;s;1;;[1118]
3452;0000-2400;;USA;San Francisco Radio 3;E;EOc;dx;1;;
3455;0000-2400;;IRL;Shannon HFDL (ID7);-HF;NAO;s;1;;
3455;0000-2400;;USA;New York Radio A;E;NAO;bg;1;;[1218]
3455;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
3455;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
3458;0815-1600;;CHN;Beijing Volmet x15,x45;E;FE;;1;;
3458;0800-2345;;CHN;Guangzhou Volmet x00,30;E;FE;;1;;[0818]
3467;0000-2400;;AUS;Brisbane Radio;E;Oc;ae;1;;
3467;0000-2400;;FJI;Nadi Radio;E;Oc;n;1;;
3467;0000-2400;;NZL;Auckland Radio;E;Oc;a;1;;
3467;0000-2400;;OCE;Tahiti Radio;E;Oc;fa;1;;
3467;0000-2400;;USA;San Francisco Radio;E;Oc;/HWA-m;1;;
3470;0000-2400;;CLN;Colombo Radio;E;SAs;;1;;[1218]
3475;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0920]
3476;0000-2400;;CAN;Gander Radio F;E;NAO;g;1;;[1218]
3476;0000-2400;;IRL;Shannon Aeradio F;E;NAO;s;1;;
3480;0000-2400;;CLA;Voice of the People;K;KRE;/KOR-g;1;;[1020]
3485;0000-2400;;CAN;Gander Volmet x20,x50;E;NAm;g;1;;[0320]
3485;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0520]
3491;0000-2400;;AZR;Santa Maria Radio H;E;NAO;sm;1;;[1118]
3491;0000-2400;;IRL;Shannon Aeradio H;E;NAO;s;1;;[0319]
3494;1800-0600;;S;Stockholm Radio;E;Eu;;1;;[1018]
3497;0000-2400;;ALS;Barrow HFDL (ID9);-HF;NOc;ba;1;;
3523;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[0419]
3560;0830-0030;;KRE;Voice of Korea DIGITAL;;FE;u;1;;[1019]
3585;1200-2400;;KOR;HLL Seoul Meteo Fax;;FE;sg;1;;[1118]
3593.7;0000-2400;;RUS;Channel Marker D;-CW;EEu;se;1;;
3593.8;0000-2400;;RUS;Channel Marker P;-CW;RUS;kl;1;;[0116]
3593.9;0000-2400;;RUS;Channel Marker S;-CW;RUS;sm;1;;
3594;0000-2400;;RUS;Channel Marker C;-CW;RUS;m;1;;
3594.1;0000-2400;;RUS;Channel Marker A;-CW;RUS;as;1;;[0116]
3594.2;0000-2400;;RUS;Channel Marker F;-CW;FE;vl;1;;
3594.3;0000-2400;;RUS;Channel Marker K;-CW;FE;as;1;;
3594.4;0000-2400;;RUS;Channel Marker M;-CW;FE;mg;1;;
3619;1700-1710;Mo;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0219]
3622.5;0000-2400;;J;JMH Japan Meteo Fax;;FE;k;1;;[1020]
3658;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[0118]
3673;0333-0343;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;
3673;0733-0743;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;
3673;0940-0950;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;[0918]
3673;1133-1143;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;
3673;1533-1543;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;[0217]
3673;1933-1943;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;
3673;2140-2150;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;[0818]
3673;2333-2343;;HOL;Netherlands Coastgd Wx;E;WEu;cg;1;;
3740;0704-0743;;BUL;LZW Varna Radio;E;BUL;va;1;;[0320]
3740;1333-1343;;BUL;LZW Varna Radio;E;BUL;va;1;;
3740;1933-1943;;BUL;LZW Varna Radio;E;BUL;va;1;;
3756;1300-0430;;RUS;The Pip, Rostov;-TS;EEu;rp;4;;[1118]
3756;1500-0330;;RUS;The Pip, Rostov;-TS;EEu;rp;5;;[0417]
3790;0000-2400;;ARM;Armenian Military Net;AR;Cau;;1;;[0716]
3828;1600-0600;;RUS;The Squeaky Wheel;;RUS;xx;1;;[0417]
3855;0430-0545;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0518]
3855;0638-1155;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0816]
3855;1236-1551;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[1216]
3855;1636-1655;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;
3855;1800-1947;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0217]
3855;2035-2300;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;
3862.2;0000-2400;;NOR;JWT NorwayMil STANAG;;NEu;;1;;[0617]
3868.2;0000-2400;;G;MKG ForestMoor STANAG;;WEu;ic;1;;[1116]
3881;0000-2400;irr;F;FAV22 Morse Training;;Eu;v;1;;[1118]
3900;0210-0700;We-Mo;CHN;PBS Hulun Buir;M;CHN;ha;1;;
3900;0900-1440;;CHN;PBS Hulun Buir;M;CHN;ha;1;;[0320]
3900;2130-0210;;CHN;PBS Hulun Buir;M;CHN;ha;1;;[0220]
3900;0000-2400;;ISL;Reykjavik HFDL (ID3);-HF;NAO;r;1;;
3903;0000-2400;;D;DHM91 German Air Force;E;Eu;al;1;;[0816]
3905;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0920]
3910;0000-2400;;CLA;Voice of the People;K;KRE;/KOR-g;1;;[1020]
3915;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0620]
3915;2200-2300;;G;BBC;E;SEA;/SNG;0;;
3915;2300-2400;;G;BBC;E;SEA;/SNG;0;;
3920;0000-2400;irr;HOL;Radio Piepzender;NL;HOL;zw;1;;[0620]
3920;2000-1800;irr;KRE;KCBS Pyongyang;K;KRE;e;1;;[0718]
3925;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0920]
3925;0750-1430;Mo-Fr;J;Radio Nikkei 1;J;FE;n;1;;[0820]
3925;1430-1500;Mo-Th;J;Radio Nikkei 1;J;FE;n;1;;
3925;1500-1520;last3;J;Radio Nikkei 1;J;FE;n;1;;
3925;2220-2300;Mo-Fr;J;Radio Nikkei 1;J;FE;n;1;;[1218]
3930;0000-2400;;CLA;Voice of the People;K;KRE;/KOR-g;1;;[1020]
3935;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0820]
3940;1700-2300;;HOL;Radio Mike;NL;WEu;he;2;1209;[0920]
3945;0950-1101;Mo-Fr;J;Radio Nikkei 2;J;FE;c;1;;[0620]
3945;0000-0700;;VUT;Radio Vanuatu;-MX;VUT;;6;1604;2004
3945;0000-1104;;VUT;Radio Vanuatu;BSL;VUT;;1;0606;[0920]
3945;0230-0330;;VUT;Radio Vanuatu;F;VUT;;1;0606;
3945;0330-0430;;VUT;Radio Vanuatu;E;VUT;;1;0606;
3945;0700-1000;;VUT;Radio Vanuatu;-MX;VUT;;6;2903;1504[0420]
3945;0700-1000;;VUT;Radio Vanuatu;-MX;VUT;;6;2004;1405[0520]
3945;0700-1000;Mo-Fr;VUT;Radio Vanuatu;-MX;VUT;;6;1505;0506[0520]
3945;0700-1100;;VUT;Radio Vanuatu;-MX;VUT;;6;1604;1904[0420]
3945;1100-1830;;VUT;Radio Vanuatu;-MX;VUT;;6;1604;2004[0420]
3945;1100-1830;;VUT;Radio Vanuatu;BSL;VUT;;6;2206;2408[0820]
3945;1100-1830;;VUT;Radio Vanuatu;BSL;VUT;;6;0107;0107
3945;1830-2400;;VUT;Radio Vanuatu;-MX;VUT;;6;2903;1405[0420]
3945;1830-2400;;VUT;Radio Vanuatu;-MX;VUT;;1;1505;[0420]
3950;1200-1800;;CHN;PBS Xinjiang;M;CHN;uc;4;;[0420]
3950;2310-0230;;CHN;PBS Xinjiang;M;CHN;uc;4;;[0420]
3955;0000-0459;;D;Channel 292;D,E;Eu;r;1;0105;
3955;0600-2000;;D;Channel 292;D,E;Eu;r;1;0105;
3955;2100-2400;;D;Channel 292;D,E;Eu;r;1;0105;
3955;1900-2000;Su;D;Radio DARC;D;Eu;r;2;0105;
3955;1900-2000;2May;D;SM Radio Dessau;D;Eu;r;6;0105;0205
3955;2100-2200;3May;D;SM Radio Dessau;D;Eu;r;6;0105;0305
3955;0459-0600;;G;BBC DIGITAL;E;CEu;w;0;;
3955;2000-2100;;KOR;KBS World Radio;D;WEu;/G-w;0;;
3959;2000-1800;;KRE;KCBS Pyongyang;K;KRE;k;1;;[1020]
3965;0100-0057;;F;Radio France DIGITAL;F;Eu;;0;;
3975;0700-1500;SaSu;D;Shortwave Radio;E;WEu;wa;6;1705;0910
3975;0700-1800;;D;Shortwave Radio;E;WEu;wa;6;2903;1104
3975;1800-2200;;D;Shortwave Radio;E;WEu;wa;6;2903;1104
3975;0700-0800;;D;Shortwave Radio;E;WEu;wa;6;1204;1605
3975;0800-0900;Su;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;0800-1600;;D;Shortwave Radio;E;WEu;wa;6;1204;1605
3975;0900-1000;Mo;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;1200-1300;We;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;1400-1500;Su;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;1400-2000;;D;Shortwave Radio;E;WEu;wa;2;1010;
3975;1500-1600;Mo;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;1500-1600;Sa-Mo;D;Shortwave Radio;E;WEu;wa;6;1705;0910
3975;1600-2000;;D;Shortwave Radio;E;WEu;wa;6;1204;1605
3975;1600-2300;;D;Shortwave Radio;E;WEu;wa;6;1705;0910
3975;1800-1900;Sa;D;Shortwave Radio;I;WEu;wa;6;1204;1505
3975;1800-1900;236;D;Shortwave Radio;I;WEu;wa;6;1605;0910
3975;2000-2100;Mo;D;Shortwave Radio;I;WEu;wa;6;1204;0910
3975;2000-2200;;D;Shortwave Radio;E;WEu;wa;6;1204;1605
3975;2000-2300;;D;Shortwave Radio;E;WEu;wa;2;1010;
3975;2100-2200;Sa;D;Shortwave Radio;I;WEu;wa;6;1204;0910
3976;2000-1800;;KRE;KCBS Pyongyang;K;KRE;k;1;;
3980;0500-0900;alt;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;
3980;0900-0100;alt;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;[0920]
3980;0930-0950;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3980;1124-1200;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;[0820]
3980;1330-1350;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3980;1730-1750;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;[0420]
3985;1500-1530;Mo-Sa;ALB;Radio Tirana;F;CEu;/D-k;6;2903;3006
3985;1500-1530;;ALB;Radio Tirana;F;CEu;/D-k;2;0107;
3985;1730-1800;;ALB;Radio Tirana;D;CEu;/D-k;2;0107;
3985;1930-1950;;BLR;Radio Belarus;F;CEu;/D-k;6;2903;3006
3985;1930-2030;;BLR;Radio Belarus;E;CEu;/D-k;2;0107;
3985;1950-2010;;BLR;Radio Belarus;S;CEu;/D-k;6;2903;3006
3985;2030-2050;;BLR;Radio Belarus;F;CEu;/D-k;2;0107;
3985;2050-2110;;BLR;Radio Belarus;S;CEu;/D-k;2;0107;
3985;2110-2130;;BLR;Radio Belarus;D;CEu;/D-k;2;0107;
3985;1500-1530;Su;CAN;Radio Canada Int.;F;CEu;/D-k;6;2903;3006
3985;1730-1800;;CAN;Radio Canada Int.;E;CEu;/D-k;6;2903;3006[0620]
3985;0855-1000;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
3985;1000-1030;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
3985;1030-1100;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
3985;1100-1200;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
3985;1200-1230;;CHN;CNR 2 China Business R.;M;CHN;q;1;;
3985;1230-1300;;CHN;CNR 2 China Business R.;M;CHN;q;1;;
3985;1300-1605;;CHN;CNR 2 China Business R.;M;CHN;q;1;;
3985;0500-0900;;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;
3985;0900-0100;;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;[1020]
3985;0930-0950;;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3985;1124-1200;;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3985;1330-1350;;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3985;1730-1750;;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3985;2010-2030;;CVA;Radio Vaticana;D;CEu;/D-k;6;2903;3006
3985;1700-1730;;CZE;Radio Prague;D;CEu;/D-k;2;;
3985;0500-2000;Aug;E;Radio MiAmigo;E;CEu;/D-k;6;2408;3108
3985;1600-1700;;SUI;SRF;D;CEu;/D-k;2;;
3985;2030-2100;;SUI;SRF;D;CEu;/D-k;6;2903;3006
3985;1530-1600;;SVK;Radio Slovakia Int.;F;CEu;/D-k;2;;
3985;1800-1830;;SVK;Radio Slovakia Int.;D;CEu;/D-k;2;;
3985;1830-1900;;SVK;Radio Slovakia Int.;F;CEu;/D-k;2;;
3985;1900-1930;;SVK;Radio Slovakia Int.;E;CEu;/D-k;2;;
3988;2000-1800;;KRE;KCBS Pyongyang;K;KRE;k;1;;
3990;0350-0650;;CHN;PBS Gannan;TB;CHN;he;4;;
3990;1020-1410;;CHN;PBS Gannan;TB;CHN;he;1;;[0617]
3990;2248-0100;;CHN;PBS Gannan;TB;CHN;he;1;;[1019]
3990;1135-1200;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
3990;1200-1225;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
3990;1225-1800;;CHN;PBS Xinjiang;UI;CHN;uc;4;;[0420]
3990;2310-0300;;CHN;PBS Xinjiang;UI;CHN;uc;4;;[0420]
3990;0500-0900;alt;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;
3990;0900-0100;alt;CLA;Echo of Hope VOH;K;KRE;/KOR-o;1;;[0620]
3990;0930-0950;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3990;1124-1200;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3990;1330-1350;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3990;1730-1750;alt;CLA;Echo of Hope VOH;E;KRE;/KOR-o;1;;
3995;0300-0400;;EQA;HCJB Voice of Andes;R;CEu;/D-we;2;;
3995;0400-0630;;EQA;HCJB Voice of Andes;D;CEu;/D-we;2;;
3995;0630-0700;;EQA;HCJB Voice of Andes;D-P;CEu;/D-we;2;;
3995;0700-1830;;EQA;HCJB Voice of Andes;D;CEu;/D-we;2;;
3995;1830-1900;;EQA;HCJB Voice of Andes;D-P;CEu;/D-we;2;;
3995;1900-2200;;EQA;HCJB Voice of Andes;D;CEu;/D-we;2;;
3995;2200-0300;;EQA;HCJB Voice of Andes;E;CEu;/D-we;2;;[0319]
3995;2000-2100;;PRG;Radio ZP30 LV del Chaco;D;CEu;/D-we;2;;
3995;2200-2300;;TWN;Radio Taiwan Int.;D;Eu;/F;0;;
4000;0000-2400;;ISR;4XZ Israeli Navy Haifa;-CW;;;1;;[0519]
4005;0000-2400;;B;Rádio Casa AM;P;SAm;am;1;;[0820]
4005;0000-2400;;USA;NSS US Navy RTTY/STANAG;;NAm;a;1;;[0119]
4010;0000-1800;;KGZ;Birinchi Radio;KG;CAs;b;1;;[1020]
4010;0105-0110;Sa;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0140-0150;Sa;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0155-0200;SaSu;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0325-0330;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0445-0454;Mo,We;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0500-0505;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0505-0530;Mo-We;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0535-0600;Mo,We;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0605-0620;Th,Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0620-0623;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0623-0640;Th,Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0645-0700;We-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;0705-0710;SaSu;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;1000-1005;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;1230-1300;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;[1118]
4010;1240-1320;Sa;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;1700-1710;Sa;KGZ;Birinchi Radio;R;CAs;b;1;;
4010;1728-1757;Mo-Fr;KGZ;Birinchi Radio;R;CAs;b;1;;[0718]
4014;0430-0600;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
4014;1600-1730;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
4014;2230-2300;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
4020;0000-2400;;RUS;Air-horn channel marker;;RUS;xx;1;;[0217]
4034;1300-1310;We;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0219]
4045;1000-1030;;USA;WCY Marine Weather Ctr;E;Car;LL;2;;
4045;1030-1100;;USA;WCY Marine Weather Ctr;E;BAH;LL;2;;[0220]
4045;1100-1125;;USA;WCY Marine Weather Ctr;E;Car;LL;2;;[0219]
4045;1130-1155;;USA;WCY Marine Weather Ctr;E;ENA;LL;2;;
4047.5;0000-2400;;G;Forest Moor ALE;;WEu;ic;1;;[1216]
4055.2;0000-2400;;D;DHJ58 Marine STANAG;;Eu;gl;1;;[0617]
4055;0300-0400;;GTM;Radio Verdad;E;CAm;;1;;[1219]
4055;0400-0500;;GTM;Radio Verdad;S;CAm;;1;;[1020]
4055;0500-0620;;GTM;Radio Verdad;E;CAm;;1;;[0720]
4055;0620-1000;25Dec;GTM;Radio Verdad;E;CAm;;1;0112;2512[1219]
4055;0620-1000;26Dec;GTM;Radio Verdad;E;CAm;;1;0112;2612[1219]
4055;0620-1000;1Jan;GTM;Radio Verdad;E;CAm;;1;0112;0101[0119]
4055;0620-1000;;GTM;Radio Verdad;E;CAm;;6;2009;2009
4055;1100-1255;Mo-Sa;GTM;Radio Verdad;E,S;CAm;;1;;[0620]
4055;1255-0300;;GTM;Radio Verdad;S;CAm;;1;;[0920]
4066.1;1130-1140;;FLK;Falkland Fisheries Dept;E;FLK;;1;;
4084;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[0516]
4125;0300-0320;;ALS;KCB53 NWS Barrow;E;ALS;ba;5;;
4125;1430-1450;;ALS;KCB53 NWS Barrow;E;ALS;ba;5;;
4125;0530-0550;;ALS;KCI94 NWS Nome;E;ALS;no;2;;
4125;1930-1950;;ALS;KCI94 NWS Nome;E;ALS;no;2;;
4125;0430-0450;;ALS;KCI95 NWS Cold Bay;E;ALS;cb;2;;
4125;1830-1850;;ALS;KCI95 NWS Cold Bay;E;ALS;cb;2;;
4125;0030-0050;;ALS;KCI98 NWS King Salmon;E;ALS;ks;2;;
4125;1730-1750;;ALS;KCI98 NWS King Salmon;E;ALS;ks;2;;
4125;0040-0100;;ALS;KDG58 NWS Annette;E;ALS;an;4;;
4125;1500-1520;;ALS;KDG58 NWS Annette;E;ALS;an;2;;
4125;2340-2400;;ALS;KDG58 NWS Annette;E;ALS;an;5;;
4125;0300-0320;;ALS;KWL38 NWS Kodiak;E;ALS;k;2;;
4125;1600-1620;;ALS;KWL38 NWS Kodiak;E;ALS;k;2;;
4125;0000-2400;;HKG;VRC Marine Rescue Radio;E;FE;m;1;;
4146;0345-0400;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4146;0903-0918;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4146;2145-2200;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4146;2303-2318;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4146;0003-0035;;NZL;ZLM Taupo Maritime R.;E;Oc;t;5;;
4146;0133-0205;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
4146;0533-0605;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
4146;0803-0835;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
4146;1333-1405;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;[1117]
4146;1733-1805;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
4146;2003-2035;;NZL;ZLM Taupo Maritime R.;E;Oc;t;3;;
4146;2303-2335;;NZL;ZLM Taupo Maritime R.;E;Oc;t;4;;
4146;0600-0610;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
4146;1200-1210;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
4146;1900-1910;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
4146;0103-0113;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
4146;1133-1143;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
4146;1903-1913;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
4149;0310-0320;;ARG;L2T Mar del Plata Radio;S;ARG;mp;1;;
4149;1610-1620;;ARG;L2T Mar del Plata Radio;S;ARG;mp;1;;
4149;1740-1750;;ARG;L2W Comodoro Rivadavia;S,E;ARG;cr;1;;
4149;2300-1000;;AUS;VMW Wiluna WA;E;AUS;w;1;;
4149;0650-0700;;NZL;Northland Radio ZMH292;E;NZL;ru;1;;
4150;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[0518]
4163.3;0000-2400;;G;MKG ForestMoor STANAG;;WEu;ic;1;;[1116]
4170;0000-2400;;CHN;XSG Shanghai Radio Fax;M;FE;sh;1;;[0817]
4181;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0319]
4181;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110
4182;0000-2400;;RUS;T Channel Marker 1050Hz;;RUS;;1;;
4203.2;0000-2400;;HOL;PBB Ny DenHelder STANAG;;WEu;cg;1;;[0617]
4209.5;0000-2400;;TUR;TAH Turk Radio Istanbul;-CW;ME;is;1;;[0618]
4210;1000-1010;;ARG;L2C Buenos Aires Radio;S;SAm;g;1;;
4210;1900-1910;;ARG;L2C Buenos Aires Radio;S;SAm;g;1;;
4212;0000-2400;;CHN;XSQ Guangzhou Radio;-TY;FE;gx;1;;[0119]
4212.5;0000-2400;;CHN;XSV Tianjin Radio;-TY;FE;tj;1;;
4215.5;0000-2400;;CHN;XSG Shanghai Radio;-TY;FE;sh;1;;[0119]
4216;0000-2400;;TUR;TAH Turk Radio Istanbul;-CW;ME;is;1;;[1219]
4219;0000-2400;;CHN;XSQ Guangzhou Radio;-TY;FE;gx;1;;
4225.7;0000-2400;;I;IDR Ny Roma STANAG;;SEu;;1;;[0119]
4228;0050-0105;;CHL;CBV Valparaiso;-TS;SAm;v;1;;
4228;1100-1145;;CHL;CBV Valparaiso Met Fax;;SAm;v;1;;
4228;1630-1700;;CHL;CBV Valparaiso Met Fax;;SAm;v;1;;
4228;1915-2000;;CHL;CBV Valparaiso Met Fax;;SAm;v;1;;
4228;2200-2245;;CHL;CBV Valparaiso Met Fax;;SAm;v;1;;
4228;2310-2340;;CHL;CBV Valparaiso Met Fax;;SAm;v;1;;
4228.2;0000-2400;;HOL;PBC Ny Goeree STANAG;;WEu;cg;1;;[0119]
4228;1000-1015;;RUS;Kaliningrad Radio UIW23;-TY;EEu;kg;1;;
4228;1620-1635;;RUS;Kaliningrad Radio UIW23;-TY;EEu;kg;1;;
4232;0000-2400;;MRT;FUF Martinique STANAG;F;Car;;1;;[0119]
4235;0230-0505;;USA;NMF Fax Boston MA;;ENA;bo;1;;[1118]
4235;0745-1040;;USA;NMF Fax Boston MA;;ENA;bo;1;;
4238;1630-1730;;IND;VTP4 Indian Navy Wx;-CW;SAs;vs;1;;[0818]
4242;0915-0925;Mo,Fr;POL;S11a Polish Spy Numbers;R;;p;1;0111;2802
4243;0600-1600;;CHN;V26 Numbers Station USB;M;FE;xx;1;;
4247;1700-2300;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
4259;1030-1040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4259;1230-1240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4259;1430-1440;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4259;1630-1640;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4259;1830-1840;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4259;2030-2040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
4266;0230-0245;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4266;0318-0330;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;[0618]
4266;0400-0415;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4266;0600-0615;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4266;1430-1445;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4266;1845-1900;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4266;2130-2145;;B;PWZ33 Rio d.J.Naval Wx;P;B;rw;1;;
4271;0000-2400;;NCL;FUJ Nouméa STANAG;F;Oc;;1;;[0818]
4280;0000-2400;;HOL;PBB Navy Den Helder;-TY;Eu;cg;1;;[0718]
4280;0200-0300;;RUS;Pechorá River Ship call;R;EEu;pu;1;;
4280;0500-0600;;RUS;Pechorá River Ship call;R;EEu;pu;1;;
4280;0630-0700;;RUS;Pechorá River Nav Wx;R;EEu;pu;1;;
4280;1000-1030;;RUS;Pechorá River Nav Wx;R;EEu;pu;1;;
4280;1300-1400;;RUS;Pechorá River Ship call;R;EEu;pu;1;;
4280;1700-1730;;RUS;Pechorá River Nav Wx;R;EEu;pu;1;;
4280;1700-1800;;RUS;Pechorá River Ship call;R;EEu;pu;1;;
4280;1900-0200;;RUS;Pechorá River Ship call;R;EEu;pu;1;;
4283;0600-1600;;CHN;V26 Numbers Station;M;FE;xx;1;;
4283;1800-0600;;CHN;XSV Tianjin Radio (x00);M;FE;tj;1;;
4288.6;0000-2400;;F;FUG La Regine STANAG;F;Eu;;1;;[0617]
4292;0600-0630;;CAN;VFF Iqaluit Meteo Fax;E;NAm;in;1;1005;3110
4292;0700-0730;;CAN;VFF Iqaluit Meteo Fax;E;NAm;in;1;1005;3110
4292;2100-2130;;CAN;VFF Iqaluit Meteo Fax;E;NAm;in;1;1005;3110
